Episode,Total Step,Total Reward
693,693000,5502.486177069783
694,694000,5586.04969247246
695,695000,5589.5434048059205
696,696000,5451.041257206314
697,697000,5562.19377496303
698,698000,5506.590760426367
699,699000,5683.782214693665
700,700000,5577.02016210508
701,701000,5596.160796881536
702,702000,5430.145164713495
703,703000,5317.784491266845
704,704000,5694.818687400645
705,705000,5441.5685906021135
706,706000,5694.813283216997
707,707000,5619.469434204713
708,708000,5428.093207771553
709,709000,5427.510688757816
710,710000,5723.637568109483
711,711000,5415.450162638782
712,712000,5435.277103888037
713,713000,5588.947987361968
714,714000,5578.312346260809
715,715000,5639.060047882215
716,716000,5606.562886997023
717,717000,5568.979255493489
718,718000,5471.556871525215
719,719000,5630.00516736831
720,720000,5513.637023751726
721,721000,5630.031836719094
722,722000,5703.270914726798
723,723000,5422.053562866677
724,724000,5676.961053299835
725,725000,5704.762287763388
726,726000,5780.953024558337
727,727000,5420.072847809125
728,728000,5706.7741532257405
729,729000,5631.691473688751
730,730000,5602.106990057893
731,731000,5474.150556222719
732,732000,5552.990102829789
733,733000,5593.044597926072
734,734000,5598.522676267387
735,735000,5564.635619992969
736,736000,5489.080929992854
737,737000,5510.486896356846
738,738000,5782.906035094502
739,739000,5458.856091693944
740,740000,5607.816157615362
741,741000,5624.222039503315
742,742000,5728.505121415069
743,743000,5672.6907183227095
744,744000,5624.8655622715605
745,745000,5658.509048620443
746,746000,5679.630989140779
747,747000,5582.548862702922
748,748000,5643.087136449693
749,749000,5835.543840424869
750,750000,5580.3093205512905
751,751000,5786.908960875983
752,752000,5669.632392859285
753,753000,5757.522374587375
754,754000,5693.631937939743
755,755000,5721.274830113744
756,756000,5493.156809886843
757,757000,5673.702478185751
758,758000,5550.128792545924
759,759000,5752.5718751743825
760,760000,5687.24566099704
761,761000,5614.521589219288
762,762000,5764.105843052395
763,763000,5776.804615044336
764,764000,5803.200086766722
765,765000,5877.955127798103
766,766000,5837.240107272366
767,767000,5758.948565279738
768,768000,5613.819096140808
769,769000,5820.4406047943485
770,770000,5913.462172287706
771,771000,5731.5942242423225
772,772000,5850.901914937728
773,773000,5802.5170693902355
774,774000,5841.19278602052
775,775000,5799.790059494685
776,776000,5384.160457957303
777,777000,5691.295781109015
778,778000,5868.546613609051
779,779000,5800.532699290418
780,780000,5862.073296631428
781,781000,5888.228459967787
782,782000,5724.9031191375325
783,783000,5822.645326750437
784,784000,5973.45347881528
785,785000,5805.245467232452
786,786000,5500.463341286387
787,787000,5753.972082925378
788,788000,5812.719736516025
789,789000,5856.477574464817
790,790000,6053.273043558471
791,791000,5572.932486701831
792,792000,5771.460899242671
793,793000,5748.149373590477
794,794000,5634.6434691237155
795,795000,5769.203976257624
796,796000,5532.8785854118405
797,797000,5936.582090626515
798,798000,5960.063411211736
799,799000,5886.523298444884
800,800000,5858.094468675191
801,801000,5740.069866732725
802,802000,5843.505144980616
803,803000,5982.442236967894
804,804000,5617.645143186372
805,805000,5955.574490248401
806,806000,6035.626190101009
807,807000,5731.771627262754
808,808000,5788.131208612362
809,809000,5745.472789066911
810,810000,6103.967843496192
811,811000,5843.29678231012
812,812000,5982.610458366776
813,813000,5675.28623187208
814,814000,6169.388552727044
815,815000,5957.8448606629545
816,816000,5758.885313543458
817,817000,6038.38461019098
818,818000,5893.691135964522
819,819000,5863.0525673193715
820,820000,5835.982995883547
821,821000,5930.010522794195
822,822000,5853.3102231697
823,823000,5872.453289320403
824,824000,2448.6584849025335
825,825000,5802.603121363471
826,826000,5909.042633679611
827,827000,5896.2793831263425
828,828000,5990.229973676446
829,829000,6029.9250584855445
830,830000,5572.707132943662
831,831000,5846.898711525751
832,832000,5894.006181196661
833,833000,5967.877815141976
834,834000,5910.556162897114
835,835000,6002.483962116541
836,836000,6127.309334360176
837,837000,6039.719705417235
838,838000,5788.767367065993
839,839000,6042.824293388377
840,840000,5981.463779074509
841,841000,5781.823135932924
842,842000,5915.30140296129
843,843000,6079.401618494005
844,844000,6008.9169887669095
845,845000,5977.622413803032
846,846000,5935.617091780045
847,847000,5835.083883105855
848,848000,6058.061761474023
849,849000,5852.459199624443
850,850000,6108.352123509766
851,851000,5817.051136809119
852,852000,5926.94019336637
853,853000,6094.647211763188
854,854000,6068.183132300544
855,855000,5944.072432574606
856,856000,6110.495116648701
857,857000,5742.519438588112
858,858000,5858.290388445497
859,859000,5798.919595112059
860,860000,5809.984467046245
861,861000,6140.221513580506
862,862000,5762.591284415772
863,863000,5771.642225571593
864,864000,5913.137613791987
865,865000,5816.1764598639
866,866000,5741.6001783829915
867,867000,5928.392667030665
868,868000,6060.202898461279
869,869000,6116.493000540841
870,870000,5952.641359054087
871,871000,5998.414286176742
872,872000,5746.822539446692
873,873000,6096.94662708573
874,874000,6100.223020020879
875,875000,6056.068426621305
876,876000,6272.3471618687545
877,877000,5989.624095558869
878,878000,6073.949036792896
879,879000,6018.718552591879
880,880000,5947.700240084156
881,881000,5960.513844831976
882,882000,5920.808473283055
883,883000,5964.947769686465
884,884000,6123.972462163831
885,885000,5796.282900057189
886,886000,5776.0851005850045
887,887000,5828.565619456299
888,888000,5884.697305774671
889,889000,6220.373753790726
890,890000,6048.35800133419
891,891000,5832.374116148517
892,892000,6136.30185167042
893,893000,6062.84393877546
894,894000,5805.590832716783
895,895000,6173.9494759590825
896,896000,5866.875765675731
897,897000,5971.035642652321
898,898000,5851.739123542162
899,899000,5979.943731104813
900,900000,6084.1797675262715
901,901000,6140.709231386152
902,902000,5918.207552639831
903,903000,6049.255013011541
904,904000,5976.0387865537805
905,905000,6056.660860579067
906,906000,5985.579642122984
907,907000,5879.310174424204
908,908000,5959.966438035088
909,909000,6055.817915939382
910,910000,5860.121040681497
911,911000,6149.210526308911
912,912000,6151.373633044454
913,913000,6157.164766757354
914,914000,6147.889186706028
915,915000,6173.3552125017595
916,916000,6276.006319652526
917,917000,6057.243424289917
918,918000,5915.610168794438
919,919000,6021.217963926178
920,920000,5821.762723248981
921,921000,5945.829893681356
922,922000,6084.798148798314
923,923000,6079.964236877243
924,924000,6180.36600080383
925,925000,6169.589698415249
926,926000,6049.5076414070045
927,927000,6069.880922970348
928,928000,6188.725575614031
929,929000,5948.275455625968
930,930000,6115.750204212891
931,931000,5913.615068516065
932,932000,5825.210117682613
933,933000,6160.699473857207
934,934000,6052.223746317555
935,935000,6140.698519013904
936,936000,6314.166003842616
937,937000,6025.8522351641495
938,938000,5994.1813038126065
939,939000,6055.712179909764
940,940000,6134.948405181655
941,941000,6234.184422238395
942,942000,5962.835359893876
943,943000,6203.016551442162
944,944000,6063.020348306543
945,945000,5927.985828460656
946,946000,6138.17269955568
947,947000,6205.063597762479
948,948000,5947.708865857542
949,949000,6208.333795322342
950,950000,6262.1037754122535
951,951000,6242.779698861177
952,952000,6041.192058039466
953,953000,6226.2964070019925
954,954000,6193.6815574896145
955,955000,6194.998422582412
956,956000,6275.039077470963
957,957000,6073.4749293751765
958,958000,5970.319619959328
959,959000,6124.924868527229
960,960000,6166.9245077763
961,961000,5998.791248986428
962,962000,6291.093944831233
963,963000,6007.507799677896
964,964000,6279.079504503133
965,965000,6087.21513186726
966,966000,5975.796441190362
967,967000,6018.126765150753
968,968000,6274.781361853566
969,969000,6204.252901798347
970,970000,6352.274351121907
971,971000,6374.6362809710445
972,972000,6200.197325510853
973,973000,6242.3304125223785
974,974000,6116.006076634475
975,975000,6285.188928158943
976,976000,6324.25523774642
977,977000,6155.759683330619
978,978000,6271.331019176999
979,979000,6323.714324535447
980,980000,5965.888626218378
981,981000,6331.869710975161
982,982000,6276.848919858541
983,983000,6012.844945415533
984,984000,6368.192231652105
985,985000,6161.202252370772
986,986000,6174.454951725003
987,987000,6108.780116408121
